Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
27-04-2020,West,Clothing,Supplier A,Warehouse 3,Fulfilled,551,409,8615.902821,TRUE,9,FALSE,57150.95856,598,6886
28-04-2020,West,Clothing,Supplier C,Warehouse 3,Fulfilled,489,787,11076.52401,TRUE,8,FALSE,66378.00252,1039,9727
29-04-2020,West,Electronics,Supplier A,Warehouse 2,Pending,712,1291,1450.896553,TRUE,16,TRUE,24683.75549,1881,5119
30-04-2020,West,Clothing,Supplier D,Warehouse 2,Fulfilled,775,2471,2671.768409,TRUE,10,FALSE,23900.74084,3462.5,8953
01-05-2020,West,Clothing,Supplier D,Warehouse 2,Fulfilled,936,4454,8057.019011,TRUE,26,TRUE,108960.3785,2754,7941
02-05-2020,West,Electronics,Supplier A,Warehouse 2,Fulfilled,988,1054,8990.638756,TRUE,7,FALSE,130014.8053,652.5,8128
03-05-2020,South,Clothing,Supplier C,Warehouse 3,Canceled,612,251,6719.324913,TRUE,6,FALSE,40211.04778,1969,9397
04-05-2020,East,Accessories,Supplier A,Warehouse 3,Fulfilled,754,3687,6426.784561,TRUE,5,FALSE,54971.19278,3672,8356
05-05-2020,East,Electronics,Supplier D,Warehouse 2,Fulfilled,282,3657,6851.316047,TRUE,21,FALSE,46598.2109,3170,6195
06-05-2020,West,Accessories,Supplier C,Warehouse 3,Fulfilled,777,2683,3371.043939,TRUE,23,FALSE,76184.13983,3577.5,9094
07-05-2020,East,Furniture,Supplier D,Warehouse 3,Fulfilled,477,4472,6748.64938,TRUE,12,FALSE,24996.34935,3671,6178
08-05-2020,East,Accessories,Supplier A,Warehouse 1,Pending,606,2870,13437.44978,FALSE,19,FALSE,28876.71182,3891,8399
09-05-2020,North,Clothing,Supplier C,Warehouse 3,Pending,423,4912,3248.554874,TRUE,13,FALSE,79226.47623,4494,5993
10-05-2020,East,Accessories,Supplier A,Warehouse 2,Fulfilled,63,4076,11003.60216,TRUE,5,FALSE,8603.620577,3084.5,6145
11-05-2020,East,Accessories,Supplier D,Warehouse 2,Fulfilled,799,2093,4314.660434,TRUE,15,FALSE,39045.0225,1258.5,5460
12-05-2020,East,Accessories,Supplier B,Warehouse 3,Fulfilled,587,424,7714.175082,TRUE,20,FALSE,43435.24314,1866.5,9462
13-05-2020,West,Accessories,Supplier C,Warehouse 1,Pending,358,3309,1812.196511,TRUE,3,FALSE,39042.15652,3242,8444
14-05-2020,East,Clothing,Supplier D,Warehouse 2,Fulfilled,84,3175,10612.99351,TRUE,18,FALSE,13657.59734,3590,8508
15-05-2020,East,Electronics,Supplier B,Warehouse 2,Fulfilled,196,4005,9228.729618,TRUE,21,FALSE,22907.49743,2698.5,5616
16-05-2020,South,Electronics,Supplier C,Warehouse 2,Pending,764,1392,3787.64629,TRUE,25,FALSE,107139.6553,3122,6653
17-05-2020,North,Clothing,Supplier C,Warehouse 2,Canceled,488,4852,10326.38235,TRUE,29,FALSE,80063.67982,2819.5,5258
18-05-2020,South,Furniture,Supplier D,Warehouse 2,Fulfilled,810,787,6402.613301,TRUE,16,FALSE,155560.135,2025.5,8473
19-05-2020,North,Accessories,Supplier A,Warehouse 2,Pending,160,3264,4210.151842,TRUE,12,FALSE,7001.110343,2871.5,8555
20-05-2020,South,Accessories,Supplier D,Warehouse 2,Fulfilled,163,2479,9340.491388,FALSE,5,FALSE,17772.09256,1543.5,5993
21-05-2020,South,Furniture,Supplier D,Warehouse 2,Canceled,544,608,7117.994876,TRUE,7,FALSE,40525.0421,2171,8109
22-05-2020,North,Clothing,Supplier D,Warehouse 3,Fulfilled,637,3734,1504.915337,TRUE,10,FALSE,73669.383,4001.5,7059
23-05-2020,West,Accessories,Supplier B,Warehouse 3,Fulfilled,880,4269,14244.01991,TRUE,7,FALSE,93875.84852,3315,8933
24-05-2020,West,Electronics,Supplier B,Warehouse 1,Fulfilled,224,2361,13981.97998,TRUE,24,FALSE,38461.18176,2944.5,6135
25-05-2020,West,Clothing,Supplier B,Warehouse 3,Fulfilled,419,3528,8465.232295,TRUE,11,FALSE,60470.18172,4024.5,6287
26-05-2020,North,Furniture,Supplier A,Warehouse 2,Fulfilled,862,4521,12357.93224,TRUE,18,FALSE,44424.39863,2861,6275
27-05-2020,South,Clothing,Supplier A,Warehouse 1,Fulfilled,115,1201,6852.61894,TRUE,19,FALSE,7617.784585,2577.5,8045
28-05-2020,North,Furniture,Supplier D,Warehouse 1,Fulfilled,899,3954,11277.76989,TRUE,21,TRUE,136368.7976,3328.5,5726
29-05-2020,West,Clothing,Supplier D,Warehouse 3,Fulfilled,416,2703,5512.025565,TRUE,17,FALSE,25875.5298,1610,9326
30-05-2020,South,Accessories,Supplier B,Warehouse 1,Fulfilled,899,517,1531.105269,TRUE,29,FALSE,122327.7816,1933.5,5179
31-05-2020,West,Furniture,Supplier A,Warehouse 3,Pending,167,3350,4644.701006,FALSE,24,FALSE,26062.89251,3929.5,8868
01-06-2020,North,Electronics,Supplier A,Warehouse 1,Fulfilled,197,4509,14603.98678,TRUE,22,FALSE,24967.37181,4374.5,8831
02-06-2020,North,Accessories,Supplier A,Warehouse 1,Pending,586,4240,11623.97542,TRUE,28,TRUE,33931.89301,3948.5,5873
03-06-2020,North,Accessories,Supplier D,Warehouse 1,Fulfilled,758,3657,11802.50374,TRUE,21,FALSE,70439.51289,2233,5467
04-06-2020,East,Accessories,Supplier A,Warehouse 2,Fulfilled,318,809,9952.087358,TRUE,17,TRUE,38176.30952,513.5,5931
05-06-2020,South,Clothing,Supplier D,Warehouse 1,Fulfilled,478,218,8105.258326,FALSE,29,FALSE,47059.70534,1170,5090
06-06-2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,655,2122,4932.680969,TRUE,6,FALSE,22700.3245,3410,5683
07-06-2020,South,Accessories,Supplier A,Warehouse 1,Fulfilled,536,4698,3412.719112,TRUE,27,FALSE,103533.1724,3420,8494
08-06-2020,West,Electronics,Supplier A,Warehouse 3,Fulfilled,481,2142,6629.187258,TRUE,27,FALSE,44693.74216,1872,9889
09-06-2020,East,Electronics,Supplier B,Warehouse 1,Fulfilled,841,1602,9057.476218,TRUE,29,FALSE,143001.2294,1009.5,6172
10-06-2020,West,Electronics,Supplier A,Warehouse 3,Canceled,567,417,10110.39312,TRUE,22,FALSE,36611.98363,1445.5,5025
11-06-2020,North,Furniture,Supplier B,Warehouse 1,Pending,953,2474,8191.151195,TRUE,10,FALSE,145928.6664,2319,5980
12-06-2020,South,Clothing,Supplier B,Warehouse 2,Pending,971,2164,10255.97538,TRUE,16,FALSE,149515.1934,3472.5,5762
13-06-2020,North,Electronics,Supplier A,Warehouse 3,Fulfilled,372,4781,1327.874027,TRUE,22,FALSE,73748.18724,3131,7201
14-06-2020,West,Accessories,Supplier D,Warehouse 3,Fulfilled,298,1481,9278.945037,TRUE,15,FALSE,59564.05699,2219,9362
15-06-2020,South,Clothing,Supplier A,Warehouse 2,Fulfilled,863,2957,1757.855215,TRUE,19,FALSE,130185.014,3665,8369
16-06-2020,East,Furniture,Supplier A,Warehouse 2,Fulfilled,117,4373,3332.704932,TRUE,12,FALSE,12284.48648,2815.5,9641
17-06-2020,East,Accessories,Supplier C,Warehouse 3,Fulfilled,530,1258,11838.02241,TRUE,3,FALSE,91308.72659,722.5,7226
18-06-2020,East,Electronics,Supplier D,Warehouse 3,Fulfilled,781,187,13544.20862,TRUE,9,FALSE,106400.8806,2225,9750
19-06-2020,East,Electronics,Supplier B,Warehouse 3,Pending,517,4263,12369.60184,TRUE,1,FALSE,29422.42699,3872.5,9270
20-06-2020,South,Clothing,Supplier D,Warehouse 2,Pending,281,3482,4246.693394,FALSE,7,TRUE,15548.20658,3153.5,9908
21-06-2020,South,Clothing,Supplier D,Warehouse 3,Canceled,186,2825,7383.456343,TRUE,1,FALSE,31065.37835,1664,8797
22-06-2020,South,Accessories,Supplier D,Warehouse 3,Fulfilled,160,503,8041.955293,TRUE,21,FALSE,15654.48396,1976.5,8246
23-06-2020,South,Clothing,Supplier B,Warehouse 1,Pending,721,3450,3578.023972,TRUE,24,FALSE,101751.2752,3390,5088
24-06-2020,South,Furniture,Supplier D,Warehouse 2,Pending,204,3330,14194.72347,TRUE,4,FALSE,8340.158455,2301.5,8804
25-06-2020,South,Furniture,Supplier B,Warehouse 2,Fulfilled,105,1273,8485.012126,TRUE,2,FALSE,10800.37368,2069,6647
26-06-2020,West,Clothing,Supplier B,Warehouse 2,Fulfilled,228,2865,6972.141402,TRUE,20,FALSE,21437.91291,2603,7818
27-06-2020,West,Electronics,Supplier A,Warehouse 2,Fulfilled,141,2341,13577.68879,TRUE,1,FALSE,16950.79011,2962,7316
28-06-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,490,3583,11652.06228,TRUE,27,FALSE,54851.85709,3611,8902
29-06-2020,East,Accessories,Supplier D,Warehouse 2,Fulfilled,368,3639,922.2948823,TRUE,29,FALSE,57934.37809,2383,6655
30-06-2020,East,Clothing,Supplier D,Warehouse 3,Canceled,493,1127,13681.40687,TRUE,21,FALSE,19145.55899,1716,5198
01-07-2020,East,Clothing,Supplier A,Warehouse 1,Fulfilled,364,2305,6159.723799,TRUE,8,FALSE,26091.38895,3104,5034
02-07-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,707,3903,7501.738745,FALSE,17,FALSE,71317.38617,3219.5,7941
03-07-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,845,2536,9435.489415,TRUE,8,FALSE,32790.34114,3662.5,8321
04-07-2020,North,Furniture,Supplier D,Warehouse 3,Fulfilled,895,4789,10579.23733,FALSE,29,FALSE,156015.5124,3741.5,5059
05-07-2020,North,Electronics,Supplier A,Warehouse 3,Fulfilled,604,2694,3069.618325,TRUE,20,FALSE,65705.43288,2036,5434
06-07-2020,East,Clothing,Supplier C,Warehouse 1,Canceled,190,1378,5665.623472,TRUE,4,FALSE,28148.79219,1760,5565
07-07-2020,East,Electronics,Supplier A,Warehouse 1,Fulfilled,239,2142,4123.370293,TRUE,12,FALSE,46901.02802,2341,9302
08-07-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,579,2540,4661.308592,TRUE,26,FALSE,81933.35898,2032.5,6389
09-07-2020,East,Electronics,Supplier D,Warehouse 1,Canceled,74,1525,10925.78193,TRUE,14,FALSE,10497.63474,1707,9605
10-07-2020,West,Furniture,Supplier A,Warehouse 1,Pending,476,1889,5425.542968,TRUE,9,FALSE,20858.08205,1745.5,5604
11-07-2020,North,Accessories,Supplier A,Warehouse 2,Fulfilled,183,1602,6845.871389,TRUE,5,FALSE,6860.604624,2285.5,9046
12-07-2020,North,Clothing,Supplier B,Warehouse 3,Fulfilled,220,2969,7776.395445,TRUE,8,FALSE,26181.53414,2338,8825
13-07-2020,East,Furniture,Supplier A,Warehouse 3,Fulfilled,840,1707,13170.02301,TRUE,7,TRUE,95831.82641,2141,7963
14-07-2020,South,Furniture,Supplier A,Warehouse 3,Fulfilled,938,2575,13732.69051,TRUE,5,FALSE,153675.5561,1831.5,5828
15-07-2020,South,Accessories,Supplier A,Warehouse 2,Fulfilled,469,1088,10100.62147,TRUE,12,FALSE,43290.7178,933,7259
16-07-2020,North,Clothing,Supplier B,Warehouse 3,Fulfilled,986,778,7794.13434,FALSE,27,FALSE,26539.78359,1390.5,8071
17-07-2020,West,Electronics,Supplier B,Warehouse 2,Canceled,895,2003,13920.95363,TRUE,13,FALSE,142263.4704,2521,9379
18-07-2020,South,Electronics,Supplier A,Warehouse 2,Fulfilled,417,3039,5955.325986,TRUE,4,FALSE,38229.63991,3668.5,9899
19-07-2020,North,Electronics,Supplier A,Warehouse 2,Pending,543,4298,1370.118793,TRUE,15,FALSE,66273.28811,3124,9304
20-07-2020,West,Furniture,Supplier A,Warehouse 2,Pending,715,1950,12471.24966,TRUE,24,FALSE,19932.66453,1560,9654
21-07-2020,South,Electronics,Supplier A,Warehouse 1,Fulfilled,749,1170,14634.16273,TRUE,9,FALSE,122385.261,1407.5,5652
22-07-2020,East,Electronics,Supplier C,Warehouse 3,Canceled,514,1645,9733.911232,FALSE,28,FALSE,61069.01511,2112.5,9765
23-07-2020,East,Accessories,Supplier D,Warehouse 3,Fulfilled,394,2580,2956.62483,TRUE,13,FALSE,76081.40748,2726,8838
24-07-2020,South,Furniture,Supplier B,Warehouse 2,Fulfilled,61,2872,7059.119058,TRUE,13,FALSE,1877.423401,3182,9359
25-07-2020,South,Furniture,Supplier C,Warehouse 3,Pending,355,3492,8471.585993,TRUE,22,FALSE,19857.54822,2345.5,5230
26-07-2020,South,Electronics,Supplier B,Warehouse 1,Pending,418,1199,11338.93807,TRUE,29,FALSE,81285.66331,2070.5,5314
31-12-2021,South,Accessories,Supplier A,Warehouse 3,Canceled,761,2942,5446.665224,TRUE,15,FALSE,29801.19072,2395.5,7334
01-01-2022,South,Accessories,Supplier C,Warehouse 1,Pending,671,1849,10012.01964,TRUE,7,FALSE,35673.65153,1183.5,5453
02-01-2022,East,Accessories,Supplier B,Warehouse 1,Fulfilled,257,518,2191.992239,TRUE,21,FALSE,21007.89594,1331,8165
03-01-2022,West,Furniture,Supplier B,Warehouse 1,Fulfilled,540,2144,12371.82875,TRUE,26,FALSE,60100.22265,1581.5,6730
04-01-2022,East,Accessories,Supplier A,Warehouse 1,Fulfilled,315,1019,3254.02511,FALSE,1,FALSE,43448.26052,1533,7140
05-01-2022,West,Clothing,Supplier C,Warehouse 3,Fulfilled,50,2047,10308.84608,TRUE,22,FALSE,8349.584537,2741.5,5329
06-01-2022,South,Electronics,Supplier B,Warehouse 1,Canceled,477,3436,6348.782423,FALSE,26,FALSE,18706.09854,2917.5,8781
07-01-2022,West,Electronics,Supplier B,Warehouse 1,Fulfilled,162,2399,9314.010949,TRUE,29,FALSE,15137.03166,1905,6743
08-01-2022,West,Electronics,Supplier C,Warehouse 1,Canceled,457,1411,9107.904484,TRUE,27,FALSE,20222.10381,2458.5,5659
09-01-2022,North,Furniture,Supplier B,Warehouse 1,Fulfilled,839,3506,13280.44982,TRUE,8,FALSE,117430.329,4171,7261
10-01-2022,North,Accessories,Supplier A,Warehouse 3,Fulfilled,474,4836,4606.676715,TRUE,13,FALSE,71082.84395,2572,5851
11-01-2022,South,Clothing,Supplier B,Warehouse 3,Fulfilled,275,308,523.2172195,TRUE,20,FALSE,41251.30462,2045,7363
12-01-2022,West,Accessories,Supplier A,Warehouse 2,Pending,663,3782,8532.564273,FALSE,12,FALSE,31865.2544,3834,5107
13-01-2022,North,Accessories,Supplier A,Warehouse 3,Fulfilled,888,3886,4635.570297,TRUE,16,FALSE,119331.4756,2164.5,5585
14-01-2022,North,Furniture,Supplier C,Warehouse 1,Pending,64,443,875.4930186,TRUE,18,FALSE,12210.9115,2718,7072
15-01-2022,East,Clothing,Supplier B,Warehouse 2,Fulfilled,376,4993,4251.22352,TRUE,12,FALSE,24751.95941,2810.5,9244
16-01-2022,North,Furniture,Supplier B,Warehouse 2,Fulfilled,382,628,4771.748328,TRUE,1,FALSE,25252.93486,753.5,6211
17-01-2022,South,Electronics,Supplier D,Warehouse 3,Fulfilled,383,879,7513.85057,TRUE,23,FALSE,32229.00476,850.5,9069
18-01-2022,North,Clothing,Supplier C,Warehouse 3,Canceled,877,822,5100.690265,TRUE,6,FALSE,68251.08497,1441.5,8675
19-01-2022,South,Accessories,Supplier C,Warehouse 3,Fulfilled,58,2061,11378.94153,TRUE,19,FALSE,9267.608954,2010.5,9898
20-01-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,545,1960,11282.2365,FALSE,16,FALSE,63813.1111,3084.5,7987
21-01-2022,North,Accessories,Supplier A,Warehouse 1,Fulfilled,244,4209,3989.883051,TRUE,15,FALSE,18097.82398,2998,7363
22-01-2022,East,Clothing,Supplier D,Warehouse 2,Pending,382,1787,10243.654,TRUE,27,TRUE,19053.77912,1096.5,7479
23-01-2022,South,Electronics,Supplier B,Warehouse 3,Fulfilled,65,406,10597.25527,TRUE,7,FALSE,2047.762455,1374.5,8898
24-01-2022,South,Electronics,Supplier C,Warehouse 1,Pending,904,2343,14699.31773,TRUE,21,FALSE,125130.874,2217.5,6187
25-01-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,185,2092,8025.814557,FALSE,21,FALSE,23520.16602,2262,6782
26-01-2022,North,Accessories,Supplier A,Warehouse 1,Pending,606,2432,5377.708989,TRUE,27,FALSE,115437.2154,2653.5,7648
27-01-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,500,2875,8604.821984,TRUE,14,FALSE,57311.74503,1589,5854
28-01-2022,East,Accessories,Supplier B,Warehouse 2,Fulfilled,646,303,14573.04273,TRUE,23,FALSE,60688.90103,2197.5,9854
29-01-2022,North,Accessories,Supplier C,Warehouse 2,Fulfilled,740,4092,9539.470104,TRUE,22,FALSE,100686.5078,3825.5,9893
30-01-2022,East,Electronics,Supplier B,Warehouse 2,Fulfilled,949,3559,10861.15402,TRUE,17,FALSE,138418.8263,4091.5,6454
31-01-2022,South,Clothing,Supplier D,Warehouse 3,Fulfilled,224,4624,1389.48618,TRUE,8,TRUE,5228.272129,2914,5850
01-02-2022,North,Clothing,Supplier D,Warehouse 3,Pending,389,1204,7745.406839,TRUE,13,TRUE,25455.23221,2057,8728
02-02-2022,East,Clothing,Supplier D,Warehouse 2,Fulfilled,171,2910,13085.51631,TRUE,23,FALSE,24087.4782,1883.5,6339
03-02-2022,North,Accessories,Supplier A,Warehouse 1,Fulfilled,569,857,13916.67882,TRUE,29,FALSE,31472.81776,2737.5,5027
04-02-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,953,4618,3696.349331,TRUE,8,FALSE,134277.5955,3135,9033
05-02-2022,West,Furniture,Supplier D,Warehouse 2,Fulfilled,116,1652,5228.537821,TRUE,16,FALSE,17087.75414,3210.5,9458
06-02-2022,South,Accessories,Supplier C,Warehouse 3,Fulfilled,196,4769,2174.835059,FALSE,1,FALSE,17215.47908,2721.5,6630
07-02-2022,East,Clothing,Supplier A,Warehouse 3,Pending,398,674,3872.756001,TRUE,24,FALSE,38998.08321,515.5,8218
08-02-2022,West,Furniture,Supplier A,Warehouse 1,Fulfilled,638,357,12946.3564,TRUE,3,FALSE,71223.12694,1723.5,7533
09-02-2022,North,Accessories,Supplier D,Warehouse 2,Fulfilled,343,3090,5712.237017,TRUE,26,FALSE,60128.56481,3784,9873
10-02-2022,North,Accessories,Supplier C,Warehouse 3,Fulfilled,672,4478,1660.264911,TRUE,25,FALSE,121999.5297,2809,5235
11-02-2022,East,Clothing,Supplier D,Warehouse 1,Fulfilled,445,1140,11164.22116,TRUE,15,FALSE,27504.48464,1808,5405
12-02-2022,East,Furniture,Supplier D,Warehouse 1,Fulfilled,567,2476,11081.67242,TRUE,24,TRUE,75902.46896,1445,8444
13-02-2022,North,Furniture,Supplier A,Warehouse 3,Fulfilled,84,414,13662.3866,FALSE,24,FALSE,11800.28742,2069.5,7826
14-02-2022,South,Electronics,Supplier D,Warehouse 3,Canceled,78,3725,10304.28134,TRUE,9,FALSE,6624.898341,2263.5,8484
15-02-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,397,802,14416.8649,TRUE,13,TRUE,30631.8127,2045.5,7417
16-02-2022,North,Accessories,Supplier D,Warehouse 3,Fulfilled,827,3289,7339.63212,TRUE,23,FALSE,88254.17281,1946,9645
17-02-2022,North,Furniture,Supplier C,Warehouse 3,Fulfilled,388,603,9596.054987,TRUE,19,FALSE,29558.42346,1512.5,5524
18-02-2022,East,Electronics,Supplier C,Warehouse 1,Fulfilled,436,2422,11189.67874,TRUE,17,FALSE,47476.24462,2539,6719
19-02-2022,East,Clothing,Supplier B,Warehouse 1,Fulfilled,928,2656,8287.710106,TRUE,24,FALSE,92476.78376,1802,8138
20-02-2022,South,Accessories,Supplier B,Warehouse 1,Fulfilled,172,948,3536.556227,TRUE,15,FALSE,8522.014048,1648,5571
21-02-2022,North,Clothing,Supplier D,Warehouse 1,Pending,974,2348,11334.924,TRUE,7,FALSE,160850.2078,1410,9802
22-02-2022,East,Electronics,Supplier A,Warehouse 1,Fulfilled,832,472,9643.062448,TRUE,18,FALSE,116670.2069,2312,8284
23-02-2022,South,Furniture,Supplier A,Warehouse 1,Pending,939,4152,12892.7881,TRUE,16,FALSE,64415.74561,4094.5,9967
24-02-2022,North,Electronics,Supplier C,Warehouse 3,Canceled,856,4037,1817.709806,TRUE,1,FALSE,154058.046,3434,6779
25-02-2022,East,Electronics,Supplier A,Warehouse 3,Fulfilled,300,2831,941.638217,TRUE,14,FALSE,6117.941103,3503.5,5746
26-02-2022,North,Accessories,Supplier C,Warehouse 1,Fulfilled,379,4176,13174.58221,TRUE,16,FALSE,60206.95385,2636.5,6267
27-02-2022,East,Furniture,Supplier C,Warehouse 3,Fulfilled,492,1097,3496.326181,TRUE,8,FALSE,53742.18491,2764.5,5466
28-02-2022,West,Furniture,Supplier A,Warehouse 3,Fulfilled,529,4432,13885.94632,TRUE,14,FALSE,105765.3043,4633,9189
01-03-2022,South,Accessories,Supplier C,Warehouse 3,Pending,102,4834,5558.621041,TRUE,14,FALSE,6167.564835,3055,8728
02-03-2022,North,Electronics,Supplier D,Warehouse 3,Fulfilled,603,1276,4550.505269,TRUE,1,FALSE,114989.5002,2385,6320
03-03-2022,South,Furniture,Supplier C,Warehouse 3,Fulfilled,246,3494,8614.444407,TRUE,14,FALSE,10127.31102,2072.5,5324
04-03-2022,North,Clothing,Supplier A,Warehouse 2,Canceled,776,651,4658.119725,TRUE,12,TRUE,105723.9972,2795.5,5422
05-03-2022,West,Electronics,Supplier B,Warehouse 3,Fulfilled,502,4940,10046.79413,TRUE,29,FALSE,33580.35637,4706,6398
06-03-2022,East,Clothing,Supplier C,Warehouse 2,Fulfilled,465,4472,1021.503465,TRUE,10,FALSE,30409.14424,4034.5,6586
07-03-2022,North,Accessories,Supplier B,Warehouse 1,Fulfilled,711,3597,12696.05598,TRUE,25,FALSE,108893.1983,2553.5,9112
08-03-2022,North,Electronics,Supplier B,Warehouse 3,Fulfilled,478,1510,14759.1147,TRUE,28,FALSE,93606.82018,1413,5235
09-03-2022,East,Electronics,Supplier A,Warehouse 1,Canceled,314,1316,9311.441795,TRUE,9,FALSE,59100.0302,1411.5,8438
10-03-2022,South,Furniture,Supplier B,Warehouse 2,Fulfilled,482,1507,14462.89092,TRUE,13,FALSE,25780.31516,2860.5,5988
11-03-2022,South,Electronics,Supplier B,Warehouse 3,Fulfilled,680,4214,8102.566606,TRUE,21,FALSE,19115.29283,3063,7611
12-03-2022,West,Accessories,Supplier C,Warehouse 1,Fulfilled,228,1912,2605.762789,TRUE,27,FALSE,25023.9191,2800,8058
13-03-2022,South,Electronics,Supplier A,Warehouse 3,Fulfilled,269,3688,6464.28921,TRUE,15,FALSE,19097.93486,1971.5,6910
14-03-2022,South,Clothing,Supplier C,Warehouse 3,Fulfilled,273,255,13424.05207,TRUE,15,FALSE,6963.95409,2237.5,5600
15-03-2022,North,Furniture,Supplier C,Warehouse 3,Pending,461,4220,6933.670982,TRUE,20,FALSE,71660.21709,2506.5,7430
16-03-2022,East,Accessories,Supplier C,Warehouse 3,Fulfilled,728,793,6135.783885,TRUE,27,FALSE,51889.52294,1713,7083
17-03-2022,North,Furniture,Supplier C,Warehouse 2,Pending,959,2633,3954.036814,TRUE,4,FALSE,144262.039,3088,7394
18-03-2022,West,Accessories,Supplier D,Warehouse 1,Pending,912,3543,10736.78636,TRUE,3,FALSE,70992.99661,2312.5,8164
19-03-2022,East,Electronics,Supplier B,Warehouse 3,Fulfilled,193,1082,1454.074158,TRUE,13,FALSE,28964.7638,2245.5,8447
20-03-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,812,3409,4515.841963,TRUE,14,TRUE,54459.80281,3842,6754
21-03-2022,South,Clothing,Supplier C,Warehouse 2,Fulfilled,616,4275,2873.297124,TRUE,28,FALSE,69478.36014,4298.5,5608
22-03-2022,North,Clothing,Supplier A,Warehouse 3,Pending,134,4322,12632.58045,TRUE,24,FALSE,6893.755081,2256.5,8286
23-03-2022,East,Furniture,Supplier D,Warehouse 3,Fulfilled,234,191,7639.825508,TRUE,8,FALSE,39719.12525,1278.5,8552
24-03-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,552,2366,4393.3213,TRUE,25,FALSE,12873.90993,3245.5,8709
25-03-2022,North,Furniture,Supplier C,Warehouse 2,Fulfilled,74,4125,2129.596018,TRUE,8,TRUE,10224.20061,3036.5,8043
26-03-2022,North,Electronics,Supplier D,Warehouse 3,Fulfilled,475,1948,14571.35896,TRUE,21,FALSE,16265.55425,1154.5,8781
27-03-2022,West,Electronics,Supplier A,Warehouse 3,Pending,183,361,6384.275337,TRUE,11,FALSE,28434.92629,1899,9152
28-03-2022,West,Clothing,Supplier B,Warehouse 1,Pending,432,3437,5716.946494,TRUE,22,FALSE,12098.5462,3706,9428
29-03-2022,North,Accessories,Supplier D,Warehouse 2,Fulfilled,221,3975,9633.149803,TRUE,13,FALSE,28738.20566,4045.5,7090
30-03-2022,West,Furniture,Supplier B,Warehouse 2,Fulfilled,499,4116,11049.66401,FALSE,1,TRUE,45364.07385,3921,5762
31-03-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,71,3726,11369.40712,TRUE,16,TRUE,7708.759224,2135.5,5486
01-04-2022,North,Electronics,Supplier A,Warehouse 1,Pending,654,545,8331.150168,TRUE,13,FALSE,30162.43578,2100,5530
02-04-2022,North,Furniture,Supplier D,Warehouse 1,Fulfilled,147,3655,9519.133238,TRUE,5,FALSE,23664.03975,2974.5,9492
